source_en,target_id,word_count_en,word_range,translation,bleu_score,adequacy,fluency,morphosyntactic,semantic,pragmatic
"We worry more about how we 're judged and seen by others , whether we 're regarded as attractive , clever , all that kind of thing .","Kita lebih banyak khawatir akan bagaimana orang lain melihat dan menilai kita , apakah kita dianggap menarik , cerdas , hal-hal seperti itu .",28,20-30,"Kita lebih khawatir tentang bagaimana kita ‘dilihat dan dipandang orang lain, apakah kita dianggap menarik, cerdas, dan sebagainya.",0.0572838658911972,5,5,5,5,5
"So , I 'd like to spend a few minutes with you folks today imagining what our planet might look like in a thousand years .",Hari ini saya ingin menghabiskan beberapa menit bersama Anda untuk membayangkan seperti apa planet kita seribu tahun lagi .,26,20-30,"Saya ingin menghabiskan beberapa menit dengan Anda semua hari ini, membayangkan bagaimana planet kita mungkin terlihat dalam seribu tahun.",0.1667955161379731,5,5,5,5,5
We partnered with TripAdvisor and created a cement hall in the middle of a village and invited so many other organizations to work over there .,Kami melakukan kerjasama dengan TripAdvisor dan membangun aula di tengah-tengah suatu desa dan mengundang berbagai organisasi untuk bekerja sama di sana .,26,20-30,"Kami bermitra dengan TripAdvisor dan menciptakan sebuah ruang tempat (cement hall) di tengah desa, dan kami mengundang banyak organisasi lain untuk bekerja di sana.",0.0599767904624861,4,4,4,4,4
"They settled in a shady suburb about an hour east of Toronto , and they settled into a new life .",Mereka bermukim di daerah perumahan kumuh sekitar satu jam timur dari Toronto . Dan mereka mulai kehidupan yang baru .,21,20-30,"Mereka pindah ke sebuah lingkungan kumuh di dekat Toronto, sekitar satu jam ke arah tim, dan mereka mulai hidup baru.",0.0674025852934629,2,4,4,2,3
"Or think of the risks on the Internet across generations - how your parents approach Internet security , versus how you do , versus how our kids will .","Atau bayangkan risiko-risiko yang ada di internet berdasarkan generasi penggunanya - sikap orang tua anda tentang keamanan internet , dibanding sikap anda , dibanding sikap anak anda nantinya .",29,20-30,"Atau pikirkan risiko di internet di seluruh generasi – bagaimana keamanan internet yang diterapkan orang tua Anda, versus bagaimana Anda melakukannya, versus bagaimana anak-anak Anda.",0.0261684730595462,4,4,4,4,4
"I tried to lift the pallets to lower the pressure in the sound box , but I might have hit a heartstring .","Saya mencoba mengangkat palet untuk menurunkan tekanan dalam kotak suara , tetapi saya mungkin telah mengenai pembuluh jantungnya .",23,20-30,"Saya mencoba mengangkat palet untuk menurunkan tekanan pada sound box, tapi mungkin saya menabrak string vital.",0.3287419039455084,3,4,4,3,3
"For instance , if you look at the odds on horses at a racetrack , they predict almost perfectly how likely a horse is to win .","Misalnya , jika Anda melihat keganjilan dalam hal pacuan kuda , mereka memprediksikan hampir secara sempurna kuda mana yang menang .",27,20-30,"Misalnya, jika Anda melihat taruhan pada kuda di lintasan balap, mereka memprediksi hampir sempurna seberapa mungkin kuda tersebut akan memenangkan perlombaan.",0.0577711677985803,5,5,5,5,5
"( Laughter ) So just to give you a bit of context , as June said , I 'm an artist , a technologist and an educator .","( Suara tawa ) Jadi sedikit mengenai konteksnya , seperti kata June , saya seorang artis , teknolog , dan pengajar .",28,20-30,"Tawa. Jadi, hanya untuk memberikan sedikit konteks, sebagai yang dikatakan Juni, aku seorang seniman, seorang teknolog, dan seorang pendidik.",0.0114434966871715,4,3,3,4,4
"You will say , "" "" Okay , this is nice - a slide created in 10 minutes . "" "" But not only that .","Anda mungkin berpikir , "" "" Oke , bagus - slide yang dibuat dalam 10 menit . "" "" Tapi tidak hanya itu .",26,20-30,"Anda akan berkata, ““ Oke, ini keren – sebuah slide yang dibuat dalam 10 menit.” “ “Tapi tidak hanya itu… ”",0.1752636663457148,3,2,2,3,3
They even have a specific date on when the collection of data began for each of the service providers .,Mereka bahkan mengetahui dengan tepat tanggal kapan pengumpulan data dimulai dari masing-masing service provider .,20,20-30,Mereka bahkan memiliki tanggal khusus kapan koleksi data dimulai untuk setiap penyedia layanan.,0.0440911529004817,5,5,5,5,5
"Even in the best-resourced countries in the world , this life expectancy gap is as much as 20 years .",Bahkan di negara dengan sumber daya terbaik di dunia perbedaan usia harapan hidup itu bisa mencapai 20 tahun .,20,20-30,"Walaupun bahkan di negara-negara terbaik di dunia, kesenjangan harapan hidup ini sama dengan 20 tahun.",0.034824442597762,4,4,4,4,5
"He , as one of many urban admixed populations , is very emblematic of a mixed parentage , of a mixed pigmentation .","Dia , sebagai salah satu dari masyarakat kota yang majemuk merupakan lambang dari orang tua campuran , warna kulit campuran .",23,20-30,"Dia, sebagai salah satu populasi yang berinteraksi di lingkungan perkotaan, sangatlah membanggakan keturunan campuran, dari warna kulit yang beragam.",0.062042724740106,3,4,4,3,4
"So we 're interested in exactly where in the brain , and what 's the most important part of the brain .",Jadi kami tertarik pada tepatnya di mana lokasi kerusakan di otak dan apakah bagian terpenting dari otak .,22,20-30,"Kita tertarik pada lokasi spesifik di otak, dan bagian mana yang paling penting dari otak.",0.0323651502197725,5,5,5,5,5
"We 've done that already . "" "" And how shall we look and verify that we actually have it ?",Kita sudah pernah melakukannya . Jadi bagaimana sebaiknya kita mengamati dan menguji pemahaman tersebut ?,21,20-30,Kita sudah melakukan itu. “Dan bagaimana cara kita melihat dan memverifikasi bahwa kita benar-benar punya itu?”,0.0327093447087721,5,5,5,5,5
"You geoengineer your way . We 'll geoengineer our way . "" "" That would be considered an act of war by both nations .",Anda merekayasa dengan cara Anda dan kami dengan cara kami . Itu akan dianggap sebagai perang oleh kedua negara .,25,20-30,Anda memanipulasi iklim dengan cara ini. Kita ‘akan memanipulasi iklim dengan cara ini. “ “ Itu akan dianggap sebagai tindakan perang oleh kedua negara.”,0.1772984226469501,3,3,3,3,3
"When you show up in the E.R. with this packet , your admission is streamlined in a material way .","Saat Anda datang ke ruang gawat darurat dengan hal-hal ini , proses pendaftaran Anda akan dipersingkat .",20,20-30,"Saat Anda tiba di ruang gawat darurat dengan paket ini, penerimaan Anda disederhanakan secara material.",0.1779529134007201,4,4,4,4,5
"Edicts like , "" "" Defer judgment , "" "" or "" "" Go for quantity . "" "" And somehow that seems wrong .","Pernyataan seperti , "" "" Tinggalkan penilaian , "" "" atau "" "" Lakukan untuk kuantitas . "" "" Dan sepertinya itu terlihat salah .",25,20-30,"Edict seperti, ““ Defer judgment,” ““ Go for quantity,” ““ And somehow that seems wrong.”",0.0,2,2,2,2,2
Why ? Because it would have been a disaster for them and for the community if he had let them go .,Kenapa ? Karena akan jadi musibah bagi para karyawan dan bagi masyarakat jika ia memberhentikan mereka .,22,20-30,"Mengapa? Karena jika dia biarkan mereka, itu akan menjadi bencana bagi mereka dan komunitasnya.",0.018043192373975,4,4,4,4,5
"The workers rarely spoke about the products they made , and they often had great difficulty explaining what exactly they did .","Para pekerja jarang berbicara tentang produk yang mereka buat , dan mereka seringkali sulit untuk menjelaskan tepatnya apa yang mereka lakukan .",22,20-30,"Para pekerja jarang berbicara tentang produk yang mereka buat, dan mereka seringkali kesulitan menjelaskan apa yang mereka lakukan.",0.4384225987022545,5,5,5,5,5
"But on the other hand , they want to keep the server in Beijing so they can access the data any time they want .","Tapi di sisi lain , mereka ingin menjaga server-nya tetap berada di Beijing agar mereka dapat mengakses data tersebut kapanpun mereka mau .",25,20-30,"Tapi, mereka ingin mempertahankan server di Beijing agar bisa mengakses data kapan saja mereka mau.",0.0583213807953043,5,5,5,5,5
"I only wanted data on the women who were going to be attracted to the type of man that I really , really wanted to marry .","Saya hanya ingin data wanita pada tipe lelaki yang saya sangat , sangat ingin nikahi . ( Tertawa )",27,20-30,Saya hanya ingin data tentang wanita yang akan tertarik dengan jenis pria yang saya inginkan untuk menikah.,0.1573100570649388,4,4,4,4,5
"And , in fact , to understand it , I eventually had to create a whole new kind of science .","dan , sebenarnya , untuk mengerti tentang hal ini , saya akhirnya harus menciptakan sebuah sains yang sama sekali baru .",21,20-30,"Dan, sebenarnya, untuk memahami ini, saya akhirnya harus menciptakan jenis ilmu baru yang sepenuhnya.",0.1240234339400204,4,4,4,4,5
"And you can see that , in a developing society that was beginning to acquire language , not having language would be a like a bird without wings .","Seperti yang Anda lihat , dalam masyarakat berkembang yang mulai menguasai bahasa , tidak punya bahasa akan seperti burung tak bersayap .",29,20-30,"Dan kamu bisa melihat bahwa, dalam masyarakat yang sedang berkembang, yang belum memiliki bahasa, tidak memiliki bahasa adalah seperti burung tanpa sayap.",0.0308975186192334,4,5,5,4,5
"In this example , each electrical impulse , each deflection on the trace , is caused by a brief pulse of light .","Pada contoh ini , setiap impuls listrik , setiap defleksi pada deteksi disebabkan oleh cahaya yang berdetak singkat .",23,20-30,"Dalam contoh ini, setiap impuls listrik, setiap defleksi pada jalur, disebabkan oleh pulsa cahaya singkat.",0.0784201719223188,5,5,5,5,5
"And because of this , things are going to change and unfold in ways that we can 't even predict .","Karenanya , semua akan berubah dan terungkap dengan cara yang tak pernah kita kira .",21,20-30,"Dan karena itu, hal-hal akan berubah dan berlanjut dengan cara yang bahkan tidak bisa kami perkirakan.",0.1023857820560022,5,5,5,5,5
"And sometimes I feel like I can 't really enjoy myself unless it 's like a vacation , like when I get Mondays and all those days off .","Dan terkadang aku merasa aku tidak begitu gembira kecuali jika hari libur , seperti saat libur di hari Senin .",29,20-30,"Dan kadang aku merasa seperti aku tidak bisa benar-benar menikmati diri sendiri kecuali seperti liburan, seperti saat saya punya hari Senin dan semua hari libur.",0.0346966645494591,4,4,4,4,4
